,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
33,5.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,3.0,5.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,5.0,5.0,5.0,3.0,3.0,0.0,5.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,1.0,5.0,0.0,1.0,3.0,1.0,0.0,0.0,5.0,3.0,3.0,0.0,1.0,5.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,0.0,5.0,5.0,0.0,1.0,3.0,1.0,5.0,1.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,5.0,1.0,5.0,0.0,3.0,3.0,0.0,1.0,1.0,3.0,1.0
34,5.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,3.0,5.0,0.0,1.0,1.0,0.0,0.0,3.0,5.0,3.0,0.0,0.0,5.0,5.0,5.0,3.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,1.0,1.0,5.0,3.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,5.0,5.0,0.0,1.0,3.0,1.0,0.0,0.0,5.0,3.0,3.0,0.0,1.0,5.0,0.0,3.0,0.0,1.0,0.0,0.0,5.0,1.0,1.0,1.0,5.0,0.0,5.0,5.0,0.0,1.0,3.0,1.0,5.0,1.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,5.0,1.0,5.0,3.0,3.0,3.0,0.0,1.0,1.0,3.0,1.0
35,1.0,1.0,3.0,3.0,1.0,1.0,5.0,1.0,0.0,3.0,1.0,1.0,1.0,3.0,5.0,0.0,1.0,1.0,0.0,0.0,3.0,5.0,3.0,0.0,0.0,5.0,5.0,1.0,3.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,1.0,1.0,5.0,3.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,5.0,5.0,0.0,1.0,3.0,1.0,0.0,0.0,5.0,0.0,3.0,0.0,1.0,5.0,0.0,3.0,0.0,1.0,0.0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0,1.0,3.0,1.0,5.0,1.0,0.0,0.0,1.0,5.0,3.0,3.0,1.0,5.0,1.0,5.0,3.0,3.0,1.0,0.0,1.0,1.0,3.0,1.0
36,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,3.0,5.0,0.0,1.0,1.0,1.0,0.0,3.0,5.0,3.0,0.0,0.0,5.0,5.0,1.0,3.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,5.0,5.0,0.0,1.0,3.0,1.0,0.0,0.0,5.0,0.0,3.0,0.0,1.0,5.0,0.0,3.0,0.0,1.0,0.0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0,1.0,3.0,1.0,5.0,1.0,0.0,0.0,1.0,5.0,1.0,3.0,1.0,5.0,1.0,5.0,3.0,3.0,1.0,0.0,1.0,1.0,3.0,1.0
37,1.0,1.0,3.0,3.0,0.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,3.0,5.0,0.0,1.0,1.0,1.0,0.0,3.0,5.0,3.0,0.0,0.0,5.0,5.0,1.0,3.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,5.0,3.0,1.0,0.0,3.0,0.0,5.0,0.0,0.0,3.0,1.0,0.0,0.0,5.0,0.0,3.0,0.0,1.0,5.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0,1.0,3.0,1.0,5.0,1.0,0.0,0.0,1.0,5.0,1.0,3.0,1.0,5.0,1.0,5.0,3.0,3.0,1.0,0.0,1.0,1.0,3.0,1.0
38,1.0,1.0,3.0,3.0,0.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,3.0,5.0,0.0,1.0,1.0,1.0,0.0,3.0,5.0,3.0,0.0,0.0,5.0,5.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,5.0,3.0,1.0,0.0,3.0,0.0,5.0,0.0,0.0,3.0,1.0,0.0,0.0,5.0,0.0,3.0,1.0,1.0,5.0,0.0,3.0,5.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0,1.0,3.0,1.0,5.0,1.0,0.0,5.0,1.0,5.0,1.0,3.0,1.0,1.0,1.0,5.0,3.0,3.0,1.0,0.0,1.0,1.0,3.0,1.0
39,1.0,1.0,3.0,3.0,0.0,0.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,3.0,0.0,0.0,5.0,5.0,1.0,3.0,5.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,5.0,3.0,1.0,0.0,1.0,5.0,5.0,0.0,0.0,3.0,1.0,0.0,0.0,5.0,0.0,3.0,1.0,1.0,5.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0,1.0,3.0,1.0,5.0,1.0,0.0,5.0,1.0,5.0,1.0,3.0,1.0,1.0,5.0,5.0,3.0,3.0,1.0,0.0,1.0,1.0,3.0,1.0
40,1.0,1.0,3.0,3.0,0.0,0.0,5.0,1.0,5.0,3.0,1.0,1.0,3.0,3.0,1.0,0.0,5.0,1.0,1.0,0.0,0.0,5.0,3.0,0.0,0.0,5.0,5.0,1.0,3.0,5.0,0.0,0.0,1.0,0.0,5.0,0.0,5.0,1.0,1.0,3.0,1.0,0.0,0.0,5.0,3.0,1.0,0.0,1.0,5.0,5.0,0.0,0.0,3.0,1.0,0.0,0.0,5.0,0.0,3.0,5.0,1.0,5.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0,1.0,3.0,1.0,5.0,1.0,0.0,5.0,1.0,5.0,1.0,3.0,1.0,1.0,5.0,5.0,3.0,3.0,1.0,0.0,1.0,1.0,3.0,1.0
41,1.0,1.0,3.0,3.0,0.0,0.0,5.0,5.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,0.0,5.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,5.0,5.0,1.0,3.0,5.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,5.0,3.0,1.0,0.0,1.0,5.0,5.0,0.0,0.0,3.0,1.0,0.0,0.0,5.0,0.0,3.0,5.0,1.0,5.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0,1.0,3.0,1.0,5.0,1.0,0.0,5.0,1.0,5.0,1.0,3.0,1.0,1.0,5.0,5.0,3.0,3.0,1.0,0.0,1.0,1.0,5.0,1.0
42,1.0,1.0,3.0,3.0,0.0,0.0,5.0,5.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,0.0,5.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,5.0,5.0,1.0,3.0,5.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,5.0,3.0,1.0,0.0,1.0,5.0,5.0,0.0,0.0,3.0,1.0,0.0,0.0,5.0,0.0,3.0,5.0,1.0,5.0,3.0,3.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,3.0,1.0,3.0,1.0,5.0,1.0,0.0,5.0,1.0,5.0,1.0,3.0,1.0,1.0,5.0,5.0,3.0,3.0,1.0,0.0,1.0,5.0,5.0,1.0
43,1.0,1.0,3.0,3.0,0.0,0.0,5.0,5.0,0.0,1.0,1.0,1.0,3.0,3.0,5.0,0.0,5.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,5.0,5.0,1.0,3.0,5.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,5.0,3.0,1.0,0.0,1.0,5.0,5.0,5.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,3.0,5.0,1.0,5.0,3.0,3.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,3.0,1.0,3.0,1.0,5.0,1.0,0.0,5.0,1.0,5.0,1.0,3.0,1.0,1.0,5.0,5.0,3.0,3.0,5.0,5.0,1.0,5.0,5.0,1.0
44,1.0,1.0,3.0,3.0,0.0,0.0,5.0,5.0,0.0,1.0,1.0,1.0,3.0,3.0,5.0,0.0,5.0,5.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,5.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,5.0,3.0,1.0,0.0,1.0,5.0,5.0,5.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,3.0,5.0,1.0,5.0,3.0,3.0,2.0,1.0,0.0,0.0,1.0,5.0,1.0,1.0,0.0,0.0,5.0,5.0,3.0,1.0,3.0,1.0,5.0,1.0,0.0,5.0,1.0,5.0,1.0,3.0,1.0,1.0,5.0,5.0,3.0,3.0,5.0,1.0,1.0,5.0,5.0,1.0
45,1.0,1.0,3.0,3.0,0.0,0.0,5.0,5.0,5.0,1.0,5.0,5.0,0.0,3.0,5.0,0.0,5.0,5.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,5.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,3.0,1.0,0.0,1.0,5.0,5.0,5.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,3.0,5.0,1.0,5.0,3.0,3.0,2.0,1.0,0.0,0.0,1.0,5.0,1.0,1.0,0.0,0.0,5.0,5.0,3.0,1.0,3.0,0.0,5.0,1.0,0.0,5.0,1.0,5.0,1.0,3.0,1.0,1.0,5.0,5.0,3.0,3.0,5.0,1.0,1.0,5.0,5.0,1.0
46,1.0,1.0,3.0,3.0,0.0,0.0,5.0,5.0,3.0,1.0,5.0,5.0,0.0,3.0,5.0,0.0,5.0,1.5,1.0,1.0,1.0,3.0,3.0,0.0,0.0,5.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,5.0,3.0,1.0,0.0,1.0,5.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,5.0,5.0,1.0,5.0,3.0,3.0,5.0,1.0,0.0,0.0,1.0,5.0,1.0,1.0,0.0,0.0,5.0,5.0,3.0,1.0,3.0,0.0,5.0,1.0,0.0,5.0,1.0,5.0,1.0,3.0,5.0,1.0,5.0,5.0,3.0,3.0,5.0,1.0,1.0,5.0,5.0,1.0
47,1.0,1.0,3.0,3.0,0.0,0.0,5.0,5.0,3.0,1.0,5.0,5.0,0.0,3.0,5.0,0.0,5.0,1.5,1.0,1.0,1.0,3.0,3.0,0.0,0.0,5.0,5.0,1.0,3.0,0.0,0.0,0.0,5.0,0.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,5.0,3.0,1.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,5.0,5.0,1.0,5.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,5.0,1.0,3.0,0.0,0.0,5.0,5.0,3.0,1.0,3.0,0.0,5.0,1.0,0.0,5.0,1.0,5.0,1.0,3.0,5.0,1.0,5.0,5.0,3.0,3.0,0.0,1.0,1.0,5.0,5.0,1.0
48,1.0,1.0,3.0,3.0,0.0,0.0,5.0,5.0,3.0,1.0,5.0,5.0,0.0,3.0,5.0,0.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,5.0,5.0,1.0,3.0,0.0,0.0,0.0,5.0,0.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,5.0,3.0,5.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,5.0,5.0,1.0,5.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,3.0,0.0,0.0,5.0,5.0,3.0,1.0,3.0,0.0,5.0,1.0,0.0,5.0,1.0,5.0,1.0,3.0,1.0,1.0,5.0,5.0,3.0,3.0,0.0,1.0,1.0,5.0,5.0,1.0
49,1.0,1.0,3.0,3.0,0.0,0.0,5.0,5.0,3.0,1.0,5.0,5.0,0.0,3.0,5.0,0.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,5.0,5.0,1.0,3.0,0.0,0.0,0.0,5.0,0.0,5.0,1.0,1.0,1.0,5.0,1.0,1.0,0.0,0.0,5.0,3.0,5.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,5.0,5.0,1.0,5.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,3.0,0.0,0.0,5.0,5.0,0.0,1.0,1.0,0.0,5.0,1.0,0.0,5.0,1.0,5.0,0.0,3.0,1.0,1.0,5.0,5.0,3.0,3.0,0.0,1.0,1.0,1.0,5.0,1.0
50,1.0,1.0,3.0,3.0,0.0,0.0,5.0,5.0,3.0,1.0,5.0,5.0,0.0,3.0,5.0,0.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,5.0,5.0,1.0,3.0,3.0,0.0,0.0,5.0,0.0,5.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,5.0,3.0,5.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,3.0,5.0,1.0,5.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,3.0,0.0,0.0,5.0,5.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,5.0,1.0,5.0,0.0,3.0,1.0,1.0,5.0,5.0,3.0,3.0,0.0,1.0,1.0,1.0,5.0,1.0
51,1.0,1.0,3.0,3.0,0.0,0.0,5.0,5.0,3.0,1.0,5.0,5.0,1.0,3.0,5.0,0.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,5.0,5.0,1.0,3.0,3.0,0.0,0.0,5.0,0.0,5.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,5.0,3.0,5.0,0.0,1.0,5.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,5.0,0.0,3.0,5.0,1.0,5.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,5.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,5.0,1.0,5.0,0.0,3.0,1.0,1.0,5.0,5.0,3.0,3.0,0.0,1.0,1.0,1.0,5.0,1.0
52,1.0,1.0,3.0,3.0,0.0,3.0,5.0,5.0,3.0,1.0,5.0,5.0,1.0,3.0,5.0,0.0,3.0,1.0,3.0,1.0,5.0,3.0,3.0,0.0,0.0,5.0,5.0,1.0,3.0,3.0,0.0,1.0,5.0,0.0,5.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,5.0,3.0,5.0,0.0,1.0,5.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,5.0,0.0,3.0,5.0,1.0,5.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,5.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,5.0,1.0,5.0,0.0,3.0,1.0,1.0,1.0,5.0,3.0,3.0,0.0,1.0,1.0,1.0,5.0,1.0
53,1.0,1.0,3.0,3.0,0.0,1.0,5.0,5.0,3.0,1.0,5.0,5.0,1.0,3.0,5.0,0.0,3.0,1.0,3.0,1.0,5.0,3.0,3.0,0.0,0.0,0.0,5.0,1.0,3.0,3.0,0.0,1.0,5.0,0.0,5.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,5.0,3.0,5.0,0.0,3.0,5.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,5.0,0.0,3.0,5.0,1.0,5.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,5.0,1.0,5.0,1.0,3.0,1.0,1.0,1.0,5.0,3.0,3.0,0.0,1.0,5.0,5.0,5.0,1.0
54,1.0,1.0,3.0,3.0,0.0,1.0,5.0,5.0,3.0,1.0,5.0,5.0,1.0,3.0,5.0,0.0,3.0,1.0,3.0,1.0,5.0,3.0,3.0,0.0,0.0,0.0,5.0,1.0,3.0,3.0,0.0,1.0,5.0,0.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,5.0,3.0,5.0,0.0,3.0,5.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,5.0,0.0,3.0,5.0,1.0,5.0,3.0,3.0,0.0,1.0,0.0,3.0,1.0,3.0,1.0,3.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,5.0,1.0,0.0,5.0,1.0,5.0,1.0,3.0,1.0,1.0,5.0,5.0,3.0,3.0,0.0,1.0,5.0,5.0,5.0,1.0
55,1.0,1.0,3.0,3.0,0.0,1.0,5.0,5.0,3.0,0.0,5.0,5.0,1.0,5.0,5.0,0.0,3.0,1.0,3.0,1.0,5.0,3.0,3.0,0.0,0.0,0.0,5.0,1.0,3.0,3.0,0.0,1.0,5.0,0.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,5.0,3.0,5.0,0.0,3.0,5.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,5.0,0.0,3.0,5.0,1.0,5.0,3.0,3.0,0.0,1.0,0.0,3.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,5.0,1.0,0.0,5.0,1.0,5.0,1.0,3.0,1.0,1.0,5.0,5.0,3.0,3.0,5.0,1.0,5.0,5.0,3.0,1.0
56,1.0,1.0,3.0,3.0,0.0,1.0,5.0,5.0,3.0,0.0,5.0,5.0,1.0,5.0,5.0,0.0,3.0,1.0,1.0,1.0,5.0,3.0,1.0,0.0,0.0,0.0,5.0,1.0,3.0,3.0,0.0,1.0,5.0,0.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,5.0,3.0,5.0,0.0,5.0,5.0,1.0,0.0,3.0,3.0,5.0,0.0,0.0,5.0,0.0,3.0,5.0,1.0,5.0,3.0,3.0,0.0,1.0,0.0,3.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,5.0,1.0,0.0,1.0,1.0,5.0,1.0,3.0,1.0,1.0,5.0,5.0,3.0,3.0,5.0,1.0,5.0,5.0,3.0,1.0
57,1.0,1.0,3.0,3.0,0.0,1.0,5.0,5.0,3.0,0.0,5.0,5.0,1.0,5.0,5.0,0.0,3.0,1.0,1.0,1.0,5.0,3.0,1.0,0.0,0.0,1.5,5.0,1.0,3.0,3.0,0.0,1.0,5.0,0.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,5.0,3.0,5.0,0.0,5.0,5.0,5.0,0.0,3.0,3.0,5.0,0.0,0.0,5.0,0.0,3.0,5.0,1.0,5.0,3.0,3.0,0.0,1.0,0.0,3.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,3.0,0.0,5.0,1.0,0.0,0.0,1.0,5.0,1.0,3.0,1.0,1.0,5.0,5.0,3.0,3.0,5.0,1.0,5.0,5.0,3.0,1.0
58,1.0,1.0,3.0,3.0,0.0,1.0,5.0,1.0,3.0,0.0,5.0,5.0,1.0,5.0,5.0,0.0,3.0,1.0,1.0,1.0,5.0,3.0,1.0,0.0,0.0,1.5,5.0,1.0,3.0,3.0,0.0,1.0,5.0,0.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,5.0,3.0,5.0,0.0,5.0,5.0,5.0,0.0,3.0,3.0,5.0,0.0,0.0,5.0,0.0,3.0,5.0,1.0,1.0,3.0,3.0,1.0,1.0,0.0,3.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,5.0,0.0,1.0,3.0,0.0,5.0,1.0,0.0,0.0,1.0,5.0,1.0,3.0,1.0,1.0,5.0,5.0,1.0,3.0,5.0,1.0,5.0,5.0,1.0,5.0
59,1.0,1.0,3.0,3.0,0.0,1.0,5.0,1.0,3.0,0.0,5.0,5.0,1.0,5.0,5.0,0.0,1.0,1.0,1.0,1.0,5.0,3.0,1.0,0.0,0.0,1.5,5.0,1.0,3.0,3.0,0.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,0.0,0.0,5.0,3.0,5.0,0.0,5.0,5.0,5.0,0.0,3.0,3.0,5.0,0.0,0.0,1.0,0.0,3.0,5.0,1.0,1.0,3.0,3.0,1.0,1.0,0.0,3.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,5.0,0.0,1.0,3.0,0.0,5.0,1.0,0.0,0.0,1.0,5.0,1.0,3.0,1.0,3.0,5.0,5.0,1.0,3.0,3.0,1.0,5.0,1.0,1.0,5.0
60,0.0,1.0,3.0,3.0,0.0,1.0,5.0,1.0,3.0,0.0,5.0,5.0,1.0,5.0,5.0,0.0,1.0,1.0,1.0,1.0,5.0,3.0,1.0,0.0,0.0,1.5,5.0,1.0,3.0,3.0,0.0,1.0,1.0,0.0,3.0,1.0,5.0,5.0,3.0,5.0,0.0,0.0,0.0,5.0,3.0,5.0,0.0,5.0,5.0,5.0,0.0,3.0,3.0,5.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,0.0,3.0,1.0,3.0,1.0,3.0,0.0,1.0,0.0,5.0,0.0,1.0,3.0,0.0,5.0,1.0,0.0,0.0,5.0,5.0,1.0,3.0,1.0,3.0,5.0,5.0,1.0,3.0,3.0,1.0,5.0,1.0,1.0,5.0
61,0.0,1.0,3.0,3.0,0.0,1.0,5.0,1.0,3.0,0.0,5.0,5.0,1.0,5.0,5.0,0.0,1.0,1.0,1.0,1.0,5.0,3.0,1.0,0.0,0.0,1.5,5.0,1.0,3.0,3.0,0.0,3.0,1.0,0.0,3.0,1.0,5.0,5.0,1.0,5.0,0.0,0.0,0.0,5.0,3.0,5.0,0.0,5.0,5.0,5.0,0.0,0.0,3.0,5.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,0.0,3.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,3.0,1.0,3.0,5.0,5.0,1.0,3.0,3.0,1.0,5.0,1.0,1.0,5.0
62,0.0,1.0,3.0,3.0,0.0,1.0,5.0,1.0,3.0,3.0,5.0,5.0,1.0,5.0,5.0,0.0,1.0,1.0,1.0,1.0,5.0,3.0,1.0,0.0,0.0,1.5,5.0,1.0,3.0,3.0,0.0,3.0,1.0,0.0,3.0,1.0,5.0,5.0,1.0,5.0,0.0,0.0,0.0,5.0,3.0,5.0,0.0,3.0,5.0,5.0,0.0,0.0,3.0,5.0,0.0,1.5,1.0,0.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,3.0,1.0,3.0,5.0,5.0,1.0,3.0,3.0,1.0,5.0,1.0,1.0,5.0
63,0.0,1.0,3.0,3.0,0.0,1.0,5.0,1.0,3.0,3.0,5.0,1.0,1.0,5.0,5.0,0.0,1.0,1.0,1.0,1.0,5.0,3.0,1.0,0.0,0.0,1.5,5.0,1.0,3.0,3.0,0.0,3.0,1.0,0.0,3.0,1.0,5.0,5.0,1.0,5.0,0.0,0.0,0.0,5.0,3.0,5.0,0.0,3.0,5.0,5.0,0.0,0.0,3.0,5.0,0.0,1.5,1.0,0.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,5.0,0.0,1.0,3.0,5.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,3.0,1.0,3.0,5.0,5.0,1.0,3.0,3.0,1.0,5.0,5.0,1.0,5.0
64,0.0,1.0,3.0,3.0,0.0,1.0,5.0,1.0,3.0,3.0,5.0,1.0,1.0,5.0,5.0,0.0,1.0,1.0,1.0,1.0,5.0,0.0,1.0,0.0,0.0,1.5,5.0,1.0,3.0,3.0,0.0,3.0,1.0,3.0,3.0,1.0,5.0,5.0,1.0,5.0,0.0,0.0,3.0,5.0,3.0,5.0,0.0,3.0,5.0,5.0,0.0,0.0,3.0,5.0,0.0,1.5,1.0,0.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,0.0,3.0,3.0,1.0,1.0,0.0,5.0,1.0,1.0,5.0,0.0,1.0,5.0,5.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,3.0,1.0,3.0,5.0,5.0,1.0,3.0,1.0,1.0,5.0,5.0,1.0,5.0
65,0.0,1.0,3.0,3.0,0.0,1.0,5.0,1.0,3.0,3.0,5.0,1.0,1.0,5.0,5.0,0.0,1.0,1.0,1.0,1.0,5.0,0.0,1.0,0.0,0.0,1.5,1.0,1.0,3.0,3.0,0.0,3.0,1.0,3.0,3.0,1.0,5.0,5.0,1.0,5.0,0.0,0.0,3.0,5.0,3.0,5.0,0.0,3.0,5.0,5.0,0.0,3.0,3.0,5.0,0.0,1.5,1.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,0.0,3.0,3.0,1.0,1.0,1.0,5.0,1.0,1.0,5.0,0.0,1.0,5.0,5.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,3.0,1.0,3.0,5.0,5.0,1.0,3.0,1.0,1.0,5.0,5.0,1.0,5.0
66,0.0,1.0,3.0,3.0,0.0,1.0,5.0,1.0,1.0,3.0,5.0,1.0,1.0,5.0,5.0,0.0,1.0,1.0,1.0,1.0,5.0,0.0,1.0,0.0,0.0,1.5,1.0,1.0,3.0,3.0,0.0,3.0,1.0,3.0,3.0,1.0,5.0,5.0,1.0,5.0,0.0,0.0,3.0,1.0,3.0,5.0,0.0,3.0,5.0,5.0,1.0,3.0,3.0,5.0,0.0,1.5,1.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0,0.0,1.0,1.0,5.0,0.0,1.0,5.0,5.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,3.0,1.0,3.0,5.0,1.0,5.0,3.0,1.0,1.0,5.0,5.0,1.0,5.0
